Lastname,Firstname,Title,Sex,Series,Rating,Published,Finished,Owned
Walton, Jo,The Just City,F,Thessaly,3,2015,19/10/2019,1
Highsmith, Patricia,Ripley's Game,F,Ripley,4,1974,15/10/2019,1
Highsmith, Patricia,Ripley Under Ground,F,Ripley,3,1970,07/10/2019,1
Barker, Pat,The Silence of the Girls,F,,3,2018,30/09/2019,1
Hornung, EW,Raffles the Amateur Cracksman,M,,3,1901,29/09/2019,1
North, Claire,The First Fifteen Lives of Harry August,F,,2,2014,23/09/2019,0
Bennett, Robert Jackson,City of Stairs,M,Divine Cities,4,2014,21/09/2019,0
Morden, Simon,Equations of Life,M,Petrovich,2,2011,14/09/2019,0
Beard, Richard,Acts of the Assassins,M,,4,2015,10/09/2019,0
Powers, Tim,The Anubis Gates,M,,3,1983,06/09/2019,1
Taylor, Elizabeth,At Mrs Lippincote's,F,,2,1945,31/08/2019,1
McCulloch, Gretchen,Because Internet,F,,3,2019,25/08/2019,0
Hardy, Lucie McNight,Water Shall Refuse Them,F,,3,2019,22/08/2019,1
Miller, Sam J,Blackfish City,M,,4,2018,17/08/2019,0
Fitzgerald, Penelope,Human Voices,F,,2,1980,09/08/2019,0
Allan, Nina,The Rift,F,,4,2017,04/08/2019,0
Edugyan, Esi,Washington Black,F,,3,2018,29/07/2019,0
Atkinson, Kate,Transcription,F,,3,2018,23/07/2019,1
Aaronovitch, Ben,The Hanging Tree,M,Peter Grant,3,2016,17/07/2019,1
Hall, Sarah,The Electric Michaelangelo,F,,3,2005,15/07/2019,1
O'Donnell, Paraic,The House on Vesper Sands,M,,4,2018,06/07/2019,1
Rooney, Sally,Conversations With Friends,F,,4,2017,02/07/2019,1
Samatar, Sofia,The Winged Histories,F,Olondria,4,2016,29/06/2019,1
Wilson, G Willow,Alif the Unseen,F,,3,2012,28/06/2019,1
Lee, Yoon Ha,Ninefox Gambit,M,Machineries of Empire,2,2016,24/06/2019,1
Egan, Jennifer,The Invisible Circus,F,,3,1995,16/06/2019,0
Abercrombie, Joe,Half a War,M,Shattered Sea,4,2015,10/06/2019,0
Abercrombie, Joe,Half the World,M,Shattered Sea,4,2015,05/06/2019,0
Bennett, Robert Jackson,Foundryside,M,Founders,4,2018,01/06/2019,0
Atkinson, Kate,When WIll There Be Good News?,F,Jackson Brodie,3,2008,26/05/2019,1
Huang, R F,The Poppy War,F,,3,2018,23/05/2019,0
Miller, Madeline,Circe,F,,4,2018,16/05/2019,1
Abercrombie, Joe,Half a King,M,Shattered Sea,4,2014,13/05/2019,0
Highsmith, Patricia,The Talented Mr Ripley,F,Tom Ripley,4,1955,08/05/2019,0
Herron, Mick,Dead Lions,M,Slough House,3,2013,03/05/2019,0
Fitzgerald, Penelope,At Freddie's,F,,3,1982,01/05/2019,0
Liu, Ken,The Grace of Kings,M,,2,2015,28/04/2019,0
Baker, Dorothy,Cassandra at the Wedding,F,,4,1962,26/04/2019,0
Allan, Nina,The Race,F,,3,2014,17/04/2019,0
Dunmore, Helen,The Betrayal,F,,4,2010,13/04/2019,0
Herron, Mick,Slow Horses,M,Slough House,3,2010,06/04/2019,0
