Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Just City,"Walton, Jo",1,Thessaly,3,2015,19/10/2019,1,,NA,,,1,,,,,,,,
Ripley's Game,"Highsmith, Patricia",1,Ripley,4,1974,15/10/2019,1,,20,,,,,,,,,,,
Ripley Under Ground,"Highsmith, Patricia",1,Ripley,3,1970,07/10/2019,1,,20,,,,,,,,,,,
The Silence of the Girls,"Barker, Pat",1,,3,2018,30/09/2019,1,iliad,NA,,,,,,,,,,,
Raffles the Amateur Cracksman,"Hornung, EW",0,,3,1901,29/09/2019,1,,19,,,,,,,,,1,,
The First Fifteen Lives of Harry August,"North, Claire",1,,2,2014,23/09/2019,0,,20,,,1,,,,,,,,
City of Stairs,"Bennett, Robert Jackson",0,Divine Cities,4,2014,21/09/2019,0,,NA,,,1,,,,,,,,
Equations of Life,"Morden, Simon",0,Petrovich,2,2011,14/09/2019,0,,21,,1,,,,,,,,,
Acts of the Assassins,"Beard, Richard",0,,4,2015,10/09/2019,0,,NA,,,,1,,,,,,,
The Anubis Gates,"Powers, Tim",0,,3,1983,06/09/2019,1,,19,,,1,,,,,,,,
At Mrs Lippincote's,"Taylor, Elizabeth",1,,2,1945,31/08/2019,1,,20,,,,,,,,,,,
Because Internet,"McCulloch, Gretchen",1,,3,2019,25/08/2019,0,,21,,,,,,,,1,,,
Water Shall Refuse Them,"Hardy, Lucie McNight",1,,3,2019,22/08/2019,1,,20,,,,,,,,,,,
Blackfish City,"Miller, Sam J",0,,4,2018,17/08/2019,0,,21,,1,,,,,,,,,
Human Voices,"Fitzgerald, Penelope",1,,2,1980,09/08/2019,0,second world war,20,,,,,,,,,,,
The Rift,"Allan, Nina",1,,4,2017,04/08/2019,0,,21,,,,,,,,,,,
Washington Black,"Edugyan, Esi",1,,3,2018,29/07/2019,0,,19,,,,,,,1,,,,
Transcription,"Atkinson, Kate",1,,3,2018,23/07/2019,1,,20,,,,,1,,,,,,
The Hanging Tree,"Aaronovitch, Ben",0,Peter Gran,3,2016,17/07/2019,1,,21,,,1,1,,,,,,,
The Electric Michaelangelo,"Hall, Sarah",1,,3,2005,15/07/2019,1,,20,,,,,,,,,,,
The House on Vesper Sands,"O'Donnell, Paraic",0,,4,2018,06/07/2019,1,Gothic,19,,,,1,,,,,,,
Conversations With Friends,"Rooney, Sally",1,,4,2017,02/07/2019,1,Ireland,21,,,,,,,,,,,
The Winged Histories,"Samatar, Sofia",1,Olondria,4,2016,29/06/2019,1,,NA,,,1,,,,,,,,
Alif the Unseen,"Wilson, G Willow",1,,3,2012,28/06/2019,1,,21,,,1,,,,,,,,
Ninefox Gambit,"Lee, Yoon Ha",0,Machineries of Empire,2,2016,24/06/2019,1,,NA,,1,1,,,,,,,,
The Invisible Circus,"Egan, Jennifer",1,,3,1995,16/06/2019,0,,20,,,,,,,,,,,
Half a War,"Abercrombie, Joe",0,Shattered Sea,4,2015,10/06/2019,0,,NA,,,1,,,,,,,,
Half the World,"Abercrombie, Joe",0,Shattered Sea,4,2015,05/06/2019,0,,NA,,,1,,,,,,,,
Foundryside,"Bennett, Robert Jackson",0,Founders,4,2018,01/06/2019,0,,NA,,,1,,,,,,,,
When WIll There Be Good News?,"Atkinson, Kate",1,Jackson Brodie,3,2008,26/05/2019,1,,21,,,,1,,,,,,,
The Poppy War,"Huang, R F",1,,3,2018,23/05/2019,0,,NA,,,1,,,,,,,,
Circe,"Miller, Madeline",1,,4,2018,16/05/2019,1,,NA,,,1,,,,,,,,
Half a King,"Abercrombie, Joe",0,Shattered Sea,4,2014,13/05/2019,0,,NA,,,1,,,,,,,,
The Talented Mr Ripley,"Highsmith, Patricia",1,Tom Ripley,4,1955,08/05/2019,0,,20,,,,,,,,,,,
Dead Lions,"Herron, Mick",0,Slough House,3,2013,03/05/2019,0,,21,,,,,1,,,,,,
At Freddie's,"Fitzgerald, Penelope",1,,3,1982,01/05/2019,0,,20,,,,,,1,,,,,
The Grace of Kings,"Liu, Ken",0,,2,2015,28/04/2019,0,,NA,,,1,,,,,,,,
Cassandra at the Wedding,"Baker, Dorothy",1,,4,1962,26/04/2019,0,,20,,,,,,1,,,,,
The Race,"Allan, Nina",1,,3,2014,17/04/2019,0,,22,,1,,,,,,,,,
The Betrayal,"Dunmore, Helen",1,,4,2010,13/04/2019,0,,20,,,,,,,1,,,,
Slow Horses,"Herron, Mick",0,Slough House,3,2010,06/04/2019,0,,21,,,,,1,,,,,,
Seven Surrenders,"Palmer, Ada",1,Terrra Ignota,2,2017,03/04/2019,0,,25,,1,,,,,,,,,
The Western Wind,"Harvey, Samantha",1,,3,2018,29/03/2019,0,,15,,,,,,,1,,,,
Nobody Walks,"Herron, Mick",0,,3,2015,22/03/2019,0,,21,,,,,1,,,,,,
Exposure,"Dunmore, Helen",1,,3,2016,19/03/2019,0,,20,,,,,1,,,,,,
Aurora Rising,"Reynolds, Alastair",0,Dreyfus,3,2007,17/03/2019,1,,25,,1,,,,,,,,,
We Have Always Lived in the Castle,"Jackson, Shirley",1,,4,1962,08/03/2019,0,,20,,,,,,,,,,,
84k,"North, Claire",1,,3,2018,05/03/2019,1,,21,,1,,,,,,,,,
Fen,"Johnson, Daisy",1,,4,2016,02/03/2019,0,,21,,,,,,,,,1,,
Too Like The Lightning,"Palmer, Ada",1,Terra Ignota,3,2016,23/02/2019,0,,25,,1,,,,,,,,,
One Good Turn,"Atkinson, Kate",1,Jackson Brodie,3,2007,15/02/2019,1,,21,,,,1,,,,,,,
Gnomon,"Harkaway, Nick",0,,3,2017,09/02/2019,1,,21,,1,,,,,,,,,
Acceptance,"VanderMeer, Jeff",0,Southern Reach,3,2014,05/02/2019,0,,21,,,,,,,,,,,
